SYSTEM,CET,BENCH0,BENCH1,BENCH2,BENCH3,BENCH4,BENCH5
SPR,0,1438208,66960,6355104,781965,998642,5646704
TGL,0,1422172,90596,5011343,747263,898106,5324023
SPR,0,1495044,66634,6320335,783389,1084188,5567088
TGL,0,1444600,67796,4659336,735729,908537,5398761
SPR,0,1430722,66694,5838043,774763,1003667,5655188
TGL,0,1360462,95742,5068239,754744,910557,5173899
SPR,0,1439925,66577,6417000,785017,1002516,5603058
TGL,0,1404159,97331,4994761,717610,952653,5204932
SPR,0,1435880,65249,6393560,784940,1006015,5586938
TGL,0,1387935,94483,4496003,786700,915453,4897518
SPR,0,1499552,65244,6375103,850588,1063728,5622380
TGL,0,1369536,94818,4803489,729039,933169,4873466
SPR,0,1445122,66996,6227173,778262,1006734,5570877
TGL,0,1383159,94942,5021004,743790,899909,5283730
SPR,0,1437127,66480,6287032,852336,1103489,5599002
TGL,0,1448582,65590,5057010,722339,1019788,5179285
SPR,0,1430193,67354,5881562,862300,1019921,5568550
TGL,0,1433263,85981,5433603,750814,928410,5286922
SPR,0,1432331,75675,6228780,776206,1010015,5575642
TGL,0,1445726,67470,5402748,722712,972254,5280022
SPR,0,1451773,66012,6358752,851328,1011093,5586762
TGL,0,1424195,65646,5091631,744210,920323,5166200
SPR,0,1428581,68937,5951004,861500,1032750,5617108
TGL,0,1401177,78889,5439770,771587,924545,5213423
SPR,0,1434657,66527,6361493,776252,1004490,5648471
TGL,0,1427531,66798,5092075,728052,1121603,5250897
SPR,0,1424278,67730,5855233,849016,1026166,5623001
TGL,0,1382407,93689,5043139,747756,980365,5257245
SPR,0,1432787,66093,6334704,779998,1086366,5518179
TGL,0,1376921,94335,5087596,750467,937682,5320639
SPR,0,1427275,67758,6363482,780082,1122892,5593742
TGL,0,1388164,86334,5023544,745754,956269,5253815
SPR,0,1459749,66028,5751053,786470,1076398,5550651
TGL,0,1381122,84737,4574534,801455,916486,5179363
SPR,0,1432567,66484,6323090,858177,1015447,5566070
TGL,0,1434353,94614,5532072,748143,1034119,5178176
SPR,0,1429712,66971,6275759,789355,1088643,5511019
TGL,0,1389559,82726,5031225,736147,937378,5232869
SPR,0,1431087,64964,6314059,848935,1023990,5568631
TGL,0,1382902,87298,4997519,731743,954997,5282948
SPR,0,1438347,67133,6395873,786739,1106577,5602369
TGL,0,1387468,66781,5027542,738349,912136,5235347
SPR,0,1435369,66565,6223532,781921,1013815,5512166
TGL,0,1394053,94525,5083499,711755,1015838,5214385
SPR,0,1431495,78067,5889040,778481,1002518,5690315
TGL,0,1394655,82923,5048944,744346,902014,5204237
